Section,ShrubID,SiteID,Species,StemLength,StemHeight,StemDiam,CanopyCover,Twigs,Moose,Hare,Ptarmagin,PropMoose,PropHare,PropPtarmagin,Bin_Moose,Bin_Hare,Bin_Ptarmagin,Binary_Browse,MooseFeces,HareFeces ,PtarmaginFeces,DistToRoad,RoadSide,GMU,VegCoverGIS,VegCoverOBS,SoilText,SoilMoist,LastBurn,Elevation,Aspect,Slope,X_Cord,Y_Cord
5,102-3-B-BENA,102-3,BENA,72,,16,0,12,0,0,0,0,0,0,,,,0,0,0,0,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
5,102-3-D-SAPU,102-3,SAPU,97,,16,0,28,0,0,3,0,0,0.107142857,,,Ptarmagin,1,0,0,0,939.238254,West,24A,Tussock Tundra (Low shrub or Herbaceous),Low Shrub,Sandy Loam,Mesic,2004,424.339783,330,3.896938,-150.565669,66.401242
5,102-4-A-BENA,102-4,BENA,88,,11,0,17,0,0,0,0,0,0,,,,0,0,0,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
5,102-4-A-SAPU,102-4,SAPU,98,,17,0,26,2,0,3,0.076923077,0,0.115384615,Moose,,Ptarmagin,1,0,0,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
5,102-4-C-BENA,102-4,BENA,97,,15,5,9,0,0,0,0,0,0,,,,0,0,0,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
5,102-4-C-SAPU,102-4,SAPU,122,,18,0,37,3,0,3,0.081081081,0,0.081081081,Moose,,Ptarmagin,1,0,0,0,934.189604,West,24A,Low Shrub,Low Shrub,Sandy Loam,Mesic,2004,423.102509,349,3.666453,-150.566049,66.401434
6,111-1-A-BENA,111-1,BENA,45,37,7,0,7,0,0,0,0,0,0,,,,0,0,0,0,640.914524,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,512.854736,12,8.158982,-150.736683,66.498494
6,111-1-B-BENA,111-1,BENA,89,51,9,0,12,0,0,0,0,0,0,,,,0,0,0,0,640.914524,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,512.854736,12,8.158982,-150.736683,66.498494
6,111-2-A-BENA,111-2,BENA,70,39,11,0,13,0,0,0,0,0,0,,,,0,0,0,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
6,111-2-C-SAPU,111-2,SAPU,87,78,14,0,21,0,0,0,0,0,0,,,,0,0,0,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
6,111-2-D-BENA,111-2,BENA,75,31,6,0,7,0,0,0,0,0,0,,,,0,0,0,0,685.564701,West,24A,Tall Shrub (Open-Closed),Low Shrub,Gravely Sand Loam,Mesic,0,516.430603,8,6.353059,-150.737535,66.498284
