Shrub ID,Pith
191-3-B-SAPU,0.564
191-3-B-SAPU,0.589
191-3-B-SAPU,0.619
191-3-B-SAPU,0.51
191-3-D-BENA,0.048
191-3-D-BENA,0.069
191-3-D-BENA,0.051
191-3-D-BENA,0.091
191-4-A-BENA,0.206
191-4-A-BENA,0.129
191-4-A-BENA,0.253
191-4-A-BENA,0.294
191-4-A-SAPU,0.279
191-4-A-SAPU,0.267
191-4-A-SAPU,0.319
191-4-A-SAPU,0.261
191-4-B-BENA,0.099
191-4-B-BENA,0.13
191-4-B-BENA,0.158
191-4-B-BENA,0.138
191-4-D-SAPU,0.259
191-4-D-SAPU,0.242
191-4-D-SAPU,0.315
191-4-D-SAPU,0.255
203-1-A-BENA,0.085
203-1-A-BENA,0.091
203-1-A-BENA,0.106
203-1-A-BENA,0.109
203-1-C-SAPU,0.141
203-1-C-SAPU,0.136
203-1-C-SAPU,0.159
203-1-C-SAPU,0.1
203-1-D-BENA,0.106
203-1-D-BENA,0.122
203-1-D-BENA,0.122
203-1-D-BENA,0.141
203-1-D-SAPU,0.228
203-1-D-SAPU,0.257
203-1-D-SAPU,0.271
203-1-D-SAPU,0.22
203-2-A-SAPU,0.191
203-2-A-SAPU,0.185
203-2-A-SAPU,0.194
203-2-A-SAPU,0.185
203-2-B-BENA,0.201
203-2-B-BENA,0.137
203-2-B-BENA,0.129
203-2-B-BENA,0.137
203-2-B-SAPU,0.242
203-2-B-SAPU,0.186
203-2-B-SAPU,0.263
203-2-B-SAPU,0.242
203-2-C-BENA,0.323
203-2-C-BENA,0.178
203-2-C-BENA,0.211
203-2-C-BENA,0.138
203-3-B-BENA,0.15
203-3-B-BENA,0.16
203-3-B-BENA,0.116
203-3-B-BENA,0.31
203-3-B-SAPU,0.275
203-3-B-SAPU,0.46
203-3-B-SAPU,0.316
203-3-B-SAPU,0.409
203-3-D-BENA,0.06
203-3-D-BENA,0.107
203-3-D-BENA,0.088
203-3-D-BENA,0.111
203-3-D-SAPU,0.6
203-3-D-SAPU,0.633
203-3-D-SAPU,0.676
203-3-D-SAPU,0.637
203-4-A-BENA,0.083
203-4-A-BENA,0.143
203-4-A-BENA,0.152
203-4-A-BENA,0.157
203-4-B-BENA,0.099
203-4-B-BENA,0.1
203-4-B-BENA,0.118
203-4-B-BENA,0.166
203-4-B-SAPU,0.418
203-4-B-SAPU,0.302
203-4-B-SAPU,0.415
203-4-B-SAPU,0.251
203-4-C-SAPU,0.155
203-4-C-SAPU,0.179
203-4-C-SAPU,0.197
203-4-C-SAPU,0.183
209-1-C-BENA,
209-1-C-BENA,0.12
209-1-C-BENA,0.087
209-1-C-BENA,0.104
209-1-C-SAPU,0.298
209-1-C-SAPU,0.303
209-1-C-SAPU,0.263
209-1-C-SAPU,0.286
209-1-D-BENA,0.144
209-1-D-BENA,0.114
209-1-D-BENA,0.178
209-1-D-BENA,0.114
209-1-D-SAPU,0.151
209-1-D-SAPU,0.122
209-1-D-SAPU,0.145
209-1-D-SAPU,0.128
209-2-A-SAPU,0.412
209-2-A-SAPU,0.338
209-2-A-SAPU,0.345
209-2-A-SAPU,0.448
209-2-B-BENA,0.115
209-2-B-BENA,0.115
209-2-B-BENA,0.109
209-2-B-BENA,0.075
209-2-D-BENA,0.083
209-2-D-BENA,0.103
209-2-D-BENA,0.122
209-2-D-BENA,0.106
209-2-D-SAPU,0.194
209-2-D-SAPU,0.158
209-2-D-SAPU,0.188
209-2-D-SAPU,0.146
209-3-A-BENA,0.1
209-3-A-BENA,0.124
209-3-A-BENA,0.121
209-3-A-BENA,0.117
209-3-A-SAPU,0.288
209-3-A-SAPU,0.303
209-3-A-SAPU,0.313
209-3-A-SAPU,0.244
209-3-B-SAPU,0.116
209-3-B-SAPU,0.138
209-3-B-SAPU,0.11
209-3-B-SAPU,0.095
209-3-D-BENA,0.129
209-3-D-BENA,0.093
209-3-D-BENA,0.098
209-3-D-BENA,0.129
209-4-A-SAPU,0.135
209-4-A-SAPU,0.172
209-4-A-SAPU,0.161
209-4-A-SAPU,0.142
209-4-B-SAPU,0.401
209-4-B-SAPU,0.461
209-4-B-SAPU,0.452
209-4-B-SAPU,0.422
209-4-C-BENA,0.181
209-4-C-BENA,0.121
209-4-C-BENA,0.164
209-4-C-BENA,0.108
209-4-D-BENA,0.081
209-4-D-BENA,
209-4-D-BENA,0.11
209-4-D-BENA,0.124
222-1-A-SAGL,0.334
222-1-A-SAGL,0.362
222-1-A-SAGL,0.313
222-1-A-SAGL,0.264
222-1-B-BENA,0.138
222-1-B-BENA,0.109
222-1-B-BENA,0.138
222-1-B-BENA,0.152
222-1-C-SAGL,0.493
222-1-C-SAGL,0.548
222-1-C-SAGL,0.499
222-1-C-SAGL,0.523
222-1-D-BENA,0.128
222-1-D-BENA,0.084
222-1-D-BENA,0.172
222-1-D-BENA,0.075
222-2-A-BENA,0.108
222-2-A-BENA,0.121
222-2-A-BENA,0.081
222-2-A-BENA,0.101
222-2-B-SAGL,0.585
222-2-B-SAGL,0.725
222-2-B-SAGL,0.646
222-2-B-SAGL,0.614
222-2-C-SAGL,0.231
222-2-C-SAGL,0.251
222-2-C-SAGL,0.285
222-2-C-SAGL,0.278
222-2-D-BENA,0.161
222-2-D-BENA,0.148
222-2-D-BENA,0.135
222-2-D-BENA,0.139
222-3-A-BENA,0.069
222-3-A-BENA,0.122
222-3-A-BENA,0.069
222-3-A-BENA,0.074
222-3-B-BENA,0.132
222-3-B-BENA,0.147
222-3-B-BENA,0.145
222-3-B-BENA,0.141
222-3-B-SAGL,0.191
222-3-B-SAGL,0.239
222-3-B-SAGL,0.231
222-3-B-SAGL,0.223
222-3-D-SAGL,0.376
222-3-D-SAGL,0.395
222-3-D-SAGL,0.39
222-3-D-SAGL,0.376
222-4-A-SAGL,0.198
222-4-A-SAGL,0.217
222-4-A-SAGL,0.211
222-4-A-SAGL,0.147
222-4-C-BENA,0.082
222-4-C-BENA,0.095
222-4-C-BENA,0.095
222-4-C-BENA,0.103
222-4-C-SAGL,0.285
222-4-C-SAGL,0.519
222-4-C-SAGL,0.521
222-4-C-SAGL,0.345
222-4-D-BENA,0.178
222-4-D-BENA,0.074
222-4-D-BENA,0.13
222-4-D-BENA,0.056
235-1-A-BENA,0.136
235-1-A-BENA,0.163
235-1-A-BENA,0.122
