ShrubID,Radius
173-4-C-SAPU,9.266
184-1-A-SAPU,7.778
184-1-A-SAPU,6.806
184-1-A-SAPU,7.008
184-1-A-SAPU,8.05
184-1-B-BENA,8.131
184-1-B-BENA,7.517
184-1-B-BENA,7.083
184-1-B-BENA,6.374
184-1-C-BENA,6.667
184-1-C-BENA,5.922
184-1-C-BENA,6.271
184-1-C-BENA,5.985
184-1-C-SAPU,7.845
184-1-C-SAPU,7.672
184-1-C-SAPU,8.976
184-1-C-SAPU,8.27
184-2-A-BENA,3.814
184-2-A-BENA,4.115
184-2-A-BENA,5.137
184-2-A-BENA,4.586
184-2-A-SAPU,11.828
184-2-A-SAPU,11.849
184-2-A-SAPU,10.228
184-2-A-SAPU,9.647
184-2-D-BENA,4.436
184-2-D-BENA,4.266
184-2-D-BENA,4.49
184-2-D-BENA,5.065
184-2-D-SAPU,6.719
184-2-D-SAPU,7.995
184-2-D-SAPU,7.626
184-2-D-SAPU,9.579
184-3-B-BENA,
184-3-B-BENA,6.854
184-3-B-BENA,5.733
184-3-B-BENA,6.522
184-3-C-SAPU,5.597
184-3-C-SAPU,6.064
184-3-C-SAPU,6.013
184-3-C-SAPU,7.899
184-3-D-BENA,3.649
184-3-D-BENA,4.107
184-3-D-BENA,4.451
184-3-D-BENA,3.545
184-3-D-SAPU,5.704
184-3-D-SAPU,6.321
184-3-D-SAPU,7.201
184-3-D-SAPU,6.085
184-4-C-SAPU,7.324
184-4-C-SAPU,7.219
184-4-C-SAPU,6.356
184-4-C-SAPU,6.607
184-4-D-SAPU,4.831
184-4-D-SAPU,4.755
184-4-D-SAPU,5.245
184-4-D-SAPU,4.975
191-1-B-SAPU,5.231
191-1-B-SAPU,6.075
191-1-B-SAPU,5.16
191-1-B-SAPU,4.452
191-1-C-BENA,3.939
191-1-C-BENA,3.138
191-1-C-BENA,3.096
191-1-C-BENA,3.576
191-1-C-SAPU,8.533
191-1-C-SAPU,8.183
191-1-C-SAPU,8.753
191-1-C-SAPU,8.854
191-1-D-BENA,4.853
191-1-D-BENA,4.642
191-1-D-BENA,4.455
191-1-D-BENA,4.481
191-2-A-BENA,4.027
191-2-A-BENA,4.741
191-2-A-BENA,4.011
191-2-A-BENA,4.273
191-2-A-SAPU,5.912
